time,stroke_count,inst_spm,total_power,inst_power,km_hr,km,tick_duration
0,1,0,1.9,1.87,0.0,0.0,73127
133792,1,0.3,14.0,12.08,0.0,0.0,28767
238587,1,0.4,30.3,16.33,0.0,0.0,24749
333454,1,0.6,48.6,18.34,0.1,0.1,23349
427923,1,0.7,66.5,17.89,0.1,0.2,23644
525275,1,0.9,82.8,16.32,0.1,0.3,24751
630125,1,1,96.2,13.41,0.2,0.5,27307
930636,1,1.4,96.2,0.00,0.6,1.1,-24788
1016213,1,1.4,96.2,0.00,0.7,1.3,-20739
1095936,1,1.5,96.2,0.00,0.8,1.5,-19911
1179928,1,1.6,96.2,0.00,0.9,1.7,-22495
1283214,1,1.7,96.2,0.00,1.0,1.9,-28681
1411852,1,1.8,96.2,0.00,1.2,2.2,-33922
1563934,1,1.9,96.2,0.00,1.3,2.5,-42460
1890495,2,2.1,99.6,3.38,1.6,3.0,54382
2027063,2,4.7,111.2,11.60,1.7,3.3,29361
2135391,2,6.6,126.3,15.09,1.8,3.5,25743
2233395,2,8.1,143.6,17.29,1.9,3.7,24050
2328927,2,9.5,161.2,17.55,2.0,4.0,23872
2425357,2,10.8,178.2,17.08,2.2,4.3,24197
2524712,2,12.1,193.8,15.54,2.3,4.6,25369
2644034,2,13.6,200.5,6.68,2.4,5.0,38693
2833640,2,15.8,200.5,0.00,2.8,5.7,-28592
2946656,2,17,200.5,0.00,3.0,6.0,-29313
3054695,2,18,200.5,0.00,3.1,6.4,-25142
3144539,2,18.7,200.5,0.00,3.2,6.7,-22150
3235400,2,19.4,200.5,0.00,3.4,7.0,-24197
3350989,2,20.3,200.5,0.00,3.5,7.3,-32813
3507820,2,21.5,200.5,0.00,3.7,7.8,-44934
3881558,3,23.9,204.4,3.98,4.2,8.8,50147
4039121,3,24.6,212.9,8.49,4.3,9.3,34328
4164506,3,25,224.3,11.39,4.5,9.7,29624
4274826,3,25.4,238.5,14.16,4.5,10.0,26574
4376881,3,25.7,254.1,15.60,4.7,10.3,25316
4475451,3,25.9,270.7,16.60,4.8,10.7,24542
4574594,3,26.2,286.6,15.96,4.9,11.1,25032
4681022,3,26.4,299.0,12.39,5.0,11.5,28406
4779273,3,26.7,299.0,0.00,5.3,11.9,-98251
4865028,3,26.8,299.0,0.00,5.3,12.2,-17631
4928979,3,27,299.0,0.00,5.5,12.5,-16016
4995604,3,27.1,299.0,0.00,5.5,12.8,-17617
5071010,3,27.2,299.0,0.00,5.6,13.1,-19926
5158161,3,27.4,299.0,0.00,5.8,13.4,-24034
5267559,3,27.6,299.0,0.00,5.9,13.8,-29193
5391924,3,27.8,299.0,0.00,6.0,14.2,-33674
5771177,4,28.3,304.4,5.37,6.5,15.5,43174
5914617,4,28.7,314.1,9.67,6.6,16.0,32164
6033023,4,28.9,326.4,12.36,6.7,16.4,28446
6140060,4,29.1,341.4,14.97,6.8,16.8,25849
6240430,4,29.2,357.7,16.30,6.9,17.1,24770
6339387,4,29.4,374.2,16.56,7.1,17.6,24572
6439030,4,29.5,390.0,15.80,7.1,18.0,25156
6544214,4,29.7,403.4,13.35,7.3,18.5,27372
6635417,4,29.8,403.4,0.00,7.4,18.9,-26341
6730689,4,29.9,403.4,0.00,7.6,19.3,-18796
6797342,4,30,403.4,0.00,7.6,19.6,-16341
6861537,4,30,403.4,0.00,7.8,19.9,-16482
6928840,4,30.1,403.4,0.00,7.8,20.2,-17681
7003094,4,30.2,403.4,0.00,7.9,20.5,-19694
7093009,4,30.3,403.4,0.00,8.0,20.9,-25477
7213515,4,30.4,403.4,0.00,8.1,21.4,-35785
7567629,5,30.7,409.2,5.81,8.5,22.7,41488
7709456,5,30.9,419.1,9.86,8.6,23.2,31855
7824249,5,31.1,432.3,13.22,8.7,23.7,27498
7926795,5,31.2,448.7,16.42,8.8,24.1,24679
8023304,5,31.3,466.1,17.37,8.9,24.5,23992
8119291,5,31.5,483.6,17.48,9.0,24.9,23915
8216617,5,31.6,500.0,16.42,9.1,25.4,24681
8487652,5,31.9,500.0,0.00,9.6,26.8,-28678
8585368,5,32,500.0,0.00,9.7,27.3,-23121
8672983,5,32,500.0,0.00,9.8,27.8,-21964
8763071,5,32.1,500.0,0.00,9.9,28.2,-23533
8864663,5,32.2,500.0,0.00,10.1,28.7,-26517
8981388,5,32.3,500.0,0.00,10.2,29.3,-30990
9108192,5,32.3,500.0,0.00,10.3,29.8,-33735
9310701,5,32.5,500.0,0.00,10.5,30.7,-77147
9629156,6,32.6,506.7,6.72,10.7,32.0,38561
9759358,6,32.3,518.2,11.49,10.9,32.5,29506
9869336,6,32.1,532.9,14.73,10.9,33.0,26052
9967505,6,31.9,550.6,17.70,11.0,33.4,23766
10060417,6,31.8,569.5,18.84,11.1,33.8,23039
10152775,6,31.7,588.4,18.89,11.2,34.3,23005
10245770,6,31.5,606.5,18.14,11.2,34.7,23482
10499748,6,31.1,606.5,0.00,11.6,36.2,-22003
10584357,6,31,606.5,0.00,11.7,36.6,-21043
10666518,6,30.9,606.5,0.00,11.8,37.1,-20290
10746184,6,30.8,606.5,0.00,11.9,37.5,-20443
10830786,6,30.8,606.5,0.00,12.0,38.0,-22276
10933341,6,30.7,606.5,0.00,12.1,38.5,-28311
11052062,6,30.5,606.5,0.00,12.2,39.1,-31895
11243597,6,30.4,606.5,0.00,12.4,40.0,-71702
11512866,7,30.1,614.4,7.88,12.5,41.1,35626
11639054,7,30.3,626.1,11.74,12.6,41.7,29185
11746948,7,30.4,641.1,15.03,12.7,42.2,25798
11844419,7,30.5,659.2,18.01,12.7,42.7,23561
11937093,7,30.5,678.1,18.91,12.8,43.1,22996
12029692,7,30.6,696.7,18.64,12.9,43.6,23165
12123952,7,30.7,714.3,17.64,13.0,44.1,23811
12369645,7,30.9,714.3,0.00,13.3,45.6,-27939
12471205,7,30.9,714.3,0.00,13.5,46.2,-23640
12556572,7,31,714.3,0.00,13.5,46.6,-20835
12643278,7,31,714.3,0.00,13.6,47.1,-23100
12743925,7,31.1,714.3,0.00,13.8,47.7,-27442
12866695,7,31.1,714.3,0.00,13.8,48.3,-33386
13010592,7,31.2,714.3,0.00,14.0,49.0,-38410
13226814,7,31.3,714.3,0.00,14.1,50.1,-80810
13492347,8,31.4,721.3,6.99,14.2,51.3,37836
13625278,8,31.3,732.0,10.71,14.3,51.9,30553
13737675,8,31.2,746.1,14.04,14.3,52.4,26684
13838275,8,31.2,763.0,16.92,14.3,52.9,24314
13934201,8,31.1,780.6,17.58,14.4,53.4,23851
14030361,8,31.1,797.8,17.18,14.5,53.9,24128
14128088,8,31,814.1,16.34,14.5,54.4,24741
14362097,8,30.9,814.1,0.00,14.8,55.8,-25953
14459009,8,30.9,814.1,0.00,14.9,56.3,-23355
14549589,8,30.8,814.1,0.00,15.0,56.8,-22410
14643888,8,30.8,814.1,0.00,15.0,57.4,-24948
14747233,8,30.8,814.1,0.00,15.1,57.9,-26798
14859418,8,30.7,814.1,0.00,15.2,58.5,-29587
14987059,8,30.7,814.1,0.00,15.2,59.1,-34844
15199368,8,30.6,814.1,0.00,15.3,60.1,-79901
15486500,9,30.6,821.1,7.02,15.3,61.4,37731
15617873,9,30.5,832.3,11.14,15.4,62.0,29961
15728624,9,30.5,847.2,14.94,15.4,62.5,25868
15827333,9,30.5,864.8,17.57,15.4,63.0,23858
15920651,9,30.4,883.4,18.65,15.5,63.4,23154
16013873,9,30.4,901.9,18.43,15.5,63.9,23291
16108402,9,30.4,919.3,17.49,15.6,64.4,23913
16346676,9,30.3,919.3,0.00,15.8,65.9,-21475
