workout_time_usec,stroke_time_usec,tick_duration_usec,inst_drag,stroke_power,inst_spm
966005105,0,136653,1.068722,0,5.3
966220890,215785,40289,12.320648,13.38937,5.3
966355051,349946,30572,21.3858,34.77517,5.3
966581148,576043,27606,26.237768,86.360138,5.3
966693757,688652,28519,24.584072,110.94421,5.3
966818859,813754,33596,17.713152,128.657362,5.3
967082990,1077885,-33313,18.012002,128.657362,5.3
967181738,1176633,-22858,38.263752,128.657362,5.3
967267173,1262068,-21190,44.537922,128.657362,5.3
967349201,1344096,-20945,45.582152,128.657362,5.3
967437477,1432372,-23899,35.011712,128.657362,5.3
967568577,1563472,-42641,10.99805,128.657362,5.3
967729048,1723943,-35918,15.501312,128.657362,5.3
967880577,1875472,-44860,9.936882,128.657362,5.3
968103272,0,222695,0.403202,128,28.5
968297168,193896,38929,13.189248,13.59245,28.5
968536723,433451,25352,31.110272,67.05402,28.5
968633015,529743,23512,36.176018,103.230038,28.5
968724519,621247,22608,39.125858,142.355896,28.5
968815160,711888,22627,39.055122,181.411018,28.5
968910744,807472,24782,32.56245,213.973468,28.5
969261787,1158515,-35746,15.646418,213.973468,28.5
969373650,1270378,-26612,28.230098,213.973468,28.5
969474668,1371396,-24892,32.272578,213.973468,28.5
969574243,1470971,-26123,29.307168,213.973468,28.5
969687112,1583840,-31059,20.723922,213.973468,28.5
969837815,1734543,-42739,10.941842,213.973468,28.5
970003695,1900423,-41179,11.790368,213.973468,28.5
970211915,2108643,-70388,4.0328,213.973468,28.5
970365989,0,42809,10.90445,213,26.5
970565517,199528,40390,12.25125,23.1557,26.5
970702468,336479,31773,19.807218,42.962918,26.5
970816919,450930,27023,27.38,70.342918,26.5
970918807,552818,24566,33.1298,103.472718,26.5
971013154,647165,23082,37.532448,141.005166,26.5
971104999,739010,22854,38.28125,179.286416,26.5
971200111,834122,24468,33.390792,212.677208,26.5
971524268,1158279,-34755,16.554258,212.677208,26.5
971632206,1266217,-25583,30.544928,212.677208,26.5
971726645,1360656,-23108,37.445858,212.677208,26.5
971815146,1449157,-22308,40.176648,212.677208,26.5
971906938,1540949,-24875,32.3208,212.677208,26.5
972042271,1676282,-40911,11.946272,212.677208,26.5
972191522,1825533,-36109,15.334722,212.677208,26.5
972360535,1994546,-52775,7.174472,212.677208,26.5
972635158,0,91506,2.384928,212,26.4
972811653,176495,40084,12.440072,14.825,26.4
972957381,322223,33938,17.357832,32.182832,26.4
973081087,445929,29145,23.543522,55.726354,26.4
973188731,553573,25604,30.49805,86.224404,26.4
973287037,651879,24012,34.677792,120.902196,26.4
973381951,746793,23526,36.125,157.027196,26.4
973478389,843231,24594,33.064712,190.091908,26.4
973950849,1315691,-25196,31.490048,190.091908,26.4
974136021,1500863,-23931,34.911368,190.091908,26.4
974243956,1608798,-29962,22.271138,190.091908,26.4
974374362,1739204,-35408,15.949952,190.091908,26.4
974523359,1888201,-38874,13.230368,190.091908,26.4
974711328,2076170,-58088,5.923682,190.091908,26.4
975080426,0,56728,6.209288,190,24.5
975251483,171057,38693,13.354112,19.5634,24.5
975386314,305888,31081,20.698178,40.261578,24.5
975498640,418214,26359,28.773698,69.035276,24.5
975597735,517309,23767,35.397698,104.432974,24.5
975689826,609400,22616,39.090482,143.523456,24.5
975779637,699211,22332,40.087058,183.610514,24.5
975871447,791021,23431,36.414578,220.025092,24.5
976214126,1133700,-30943,20.878722,220.025092,24.5
976316867,1236441,-24711,32.740232,220.025092,24.5
976404862,1324436,-21366,43.8048,220.025092,24.5
976488463,1408037,-21891,41.733248,220.025092,24.5
976587534,1507108,-28001,25.504082,220.025092,24.5
976737082,1656656,-42013,11.3288,220.025092,24.5
976889587,1809161,-37539,14.183138,220.025092,24.5
977050448,1970022,-46100,9.409122,220.025092,24.5
977356102,0,47704,8.786432,220,26.3
977518478,162376,38268,13.655538,22.44197,26.3
977659481,303379,33228,18.108162,40.550132,26.3
977780656,424554,28787,24.123458,64.67359,26.3
977888495,532393,25943,29.706632,94.380222,26.3
977988532,632430,24637,32.934728,127.31495,26.3
978087045,730943,24537,33.21125,160.5262,26.3
978187811,831709,25747,30.155378,190.681578,26.3
978496177,1140075,-30428,21.595592,190.681578,26.3
