workout_time,stroke_time,inst_drag,stroke_power,spm
175191849,175191849,17237,17237,0
175706808,175706808,9721,26958,0
176029925,176029925,14347,41305,0
176261292,176261292,19210,60515,0
176450751,176450751,21753,82268,0
176640089,176640089,20476,102744,0
176843224,176843224,19074,121818,0
177215903,177215903,-19701,0,0
177372040,177372040,-27236,0,0
177502699,177502699,-31276,0,0
177628799,177628799,-30681,0,0
177778493,177778493,-22890,0,0
178047779,178047779,-12116,0,0
178332493,178332493,-14865,0,0
178855324,0,10330,10330,0
179143124,287800,16466,26796,0
179351269,495945,20562,47358,0
179525093,669769,24732,72090,0
179677608,822284,27144,99234,0
179820905,965581,28269,127503,0
179967004,1111680,26702,154205,0
180321656,1466332,-23724,0,0
180449245,1593921,-33042,0,0
180559981,1704657,-36601,0,0
180669109,1813785,-35159,0,0
180796862,1941538,-28340,0,0
180978196,2122872,-18397,0,0
181186862,2331538,-20745,0,0
181405444,2550120,-13709,0,0
181703700,0,22479,22479,52
181849131,145431,30590,53069,52
181964384,260684,37224,90293,52
182064028,360328,41704,131997,52
182156541,452841,44050,176047,52
182245912,542212,45040,221087,52
182336550,632850,43066,264153,52
182630378,926678,-33159,0,52
182724846,1021146,-45998,0,52
182803357,1099657,-51824,0,52
182877808,1174108,-52929,0,52
182958509,1254809,-45564,0,52
183072943,1369243,-28673,0,52
183217178,1513478,-28027,0,52
183366878,1663178,-24608,0,52
183627462,0,19870,19870,116
183789976,162514,26670,46540,116
183926666,299204,30925,77465,116
184043763,416301,36251,113716,116
184147635,520173,40014,153730,116
184243932,616470,42142,195872,116
184337766,710304,42938,238810,116
184433411,805949,40988,279798,116
184763819,1136357,-29013,0,116
184866818,1239356,-43626,0,116
184948657,1321195,-49925,0,116
185027265,1399803,-49453,0,116
185108700,1481238,-47519,0,116
185204449,1576987,-36565,0,116
185347291,1719829,-25204,0,116
185504838,1877376,-23188,0,116
185752257,0,17084,17084,157
185915478,163221,26783,43867,157
186052981,300724,30577,74444,157
186173003,420746,35031,109475,157
186279489,527232,39064,148539,157
186377986,625729,41380,189919,157
186473600,721343,42117,232036,157
186569610,817353,41225,273261,157
186839653,1087396,-32434,0,157
186959064,1206807,-35587,0,157
187055546,1303289,-43838,0,157
187149526,1397269,-38918,0,157
187272514,1520257,-30252,0,157
187402060,1649803,-29504,0,157
187550236,1797979,-25100,0,157
187797710,2045453,-10004,0,157
188407223,0,10151,10151,174
189370396,963173,20364,30515,174
189522179,1114956,29238,59753,174
189647103,1239880,33947,93700,174
189758774,1351551,36850,130550,174
189864561,1457338,38458,169008,174
189969682,1562459,37465,206473,174
190224356,1817133,-34794,0,174
190314403,1907180,-47105,0,174
190393021,1985798,-50893,0,174
190470280,2063057,-51342,0,174
190547098,2139875,-50743,0,174
190635930,2228707,-38789,0,174
190760154,2352931,-28603,0,174
190919252,2512029,-21236,0,174
191166063,0,15697,15697,184
191331927,165864,25916,41613,184
191473648,307585,29999,71612,184
191595653,429590,34596,106208,184
191703664,537601,38431,144639,184
191804290,638227,40239,184878,184
191903675,737612,40278,225156,184
192005867,839804,38317,263473,184
192312746,1146683,-31919,0,184
192409754,1243691,-44060,0,184
192491861,1325798,-49818,0,184
192569584,1403521,-50515,0,184
192653772,1487709,-44359,0,184
192760783,1594720,-31803,0,184
192916834,1750771,-23855,0,184
193092256,1926193,-18990,0,184
193284937,0,5189,5189,208
193457370,172433,25450,30639,208
193599351,314414,30363,61002,208
193720771,435834,34769,95771,208
193828093,543156,38824,134595,208
193927340,642403,40918,175513,208
194023986,739049,41633,217146,208
194122034,837097,40064,257210,208
194422052,1137115,-28678,0,208
194530308,1245371,-39864,0,208
194622641,1337704,-44144,0,208
194708600,1423663,-45173,0,208
194808980,1524043,-35366,0,208
194963208,1678271,-22446,0,208
195110600,1825663,-29143,0,208
195262497,1977560,-22018,0,208
195472639,0,4758,4758,224
195639618,166979,26323,31081,224
195777566,304927,31019,62100,224
195896194,423555,35444,97544,224
196001747,529108,39433,136977,224
196099457,626818,41605,178582,224
196194820,722181,42146,220728,224
196292381,819742,40118,260846,224
196571635,1098996,-28382,0,224
196681984,1209345,-38860,0,224
196779532,1306893,-40183,0,224
196892223,1419584,-30841,0,224
197035075,1562436,-27327,0,224
197178038,1705399,-28341,0,224
197318834,1846195,-27354,0,224
197496686,2024047,-17379,0,224
197652836,0,34627,34627,236
197825122,172286,26616,61243,236
197959952,307116,31637,92880,236
198076539,423703,36125,129005,236
198179809,526973,40210,169215,236
198275752,622916,42306,211521,236
198369952,717116,42605,254126,236
198466029,813193,40793,294919,236
198749915,1097079,-26638,0,236
198864285,1211449,-37192,0,236
198968637,1315801,-37415,0,236
199085882,1433046,-30284,0,236
199228923,1576087,-26886,0,236
199371666,1718830,-27209,0,236
199517764,1864928,-26865,0,236
199691356,2038520,-19754,0,236
199882172,0,5240,5240,244
200054843,172671,25856,31096,244
200194909,312737,30602,61698,244
200315175,433003,35138,96836,244
200421213,539041,39246,136082,244
200519135,636963,41569,177651,244
200614917,732745,41839,219490,244
200713176,831004,39964,259454,244
200995941,1113769,-25536,0,244
201121060,1238888,-32606,0,244
201244090,1361918,-32225,0,244
201371311,1489139,-29501,0,244
201520804,1638632,-25079,0,244
201676339,1794167,-26438,0,244
201819366,1937194,-27338,0,244
201997008,2114836,-18059,0,244
202158483,0,6192,6192,248
202335675,177192,25469,31661,248
202479096,320613,29835,61496,248
202601982,443499,34460,95956,248
202708939,550456,39114,135070,248
202806738,648255,41701,176771,248
202901887,743404,42128,218899,248
203000098,841615,39586,258485,248
203269058,1110575,-22607,0,248
203396999,1238516,-33312,0,248
